id,planet_radius,planet_type,discovery_Method,planet_mass,discovery_date,orbital_radius,orbital_period,eccentricity
262,1.94 x Earth,Neptune-like,Transit,3.9 Earths,2023,0.1785 AU,30.8 days,
263,0.232 x Jupiter,Neptune-like,Transit,5.04 Earths,2023,0.2163 AU,41.1 days,
264,0.233 x Jupiter,Neptune-like,Transit,8.4 Earths,2023,0.2621 AU,54.8 days,
265,0.24 x Jupiter,Neptune-like,Transit,9.13 Earths,2023,0.078 AU,9.2 days,0.06
266,0.649 x Jupiter,Gas Giant,Transit,0.1318 Jupiters,2023,0.371 AU,95.5 days,0.67
267,1.348 x Jupiter,Gas Giant,Transit,0.957 Jupiters,2023,0.0579 AU,4.4 days,0.04
268,0.284 x Jupiter,Neptune-like,Transit,12.3 Earths,2023,0.073 AU,7.1 days,0.0
269,1.054 x Jupiter,Gas Giant,Transit,1.286 Jupiters,2023,0.5516 AU,141.8 days,0.21
270,0.278 x Jupiter,Neptune-like,Transit,24 Earths,2023,0.133 AU,18.3 days,< 0.21
271,1.058 x Jupiter,Gas Giant,Transit,1.49 Jupiters,2023,0.0994 AU,10 days,0.1
272,1.12 x Jupiter (estimate),Gas Giant,Radial Velocity,8.7 Jupiters,2023,1.37 AU,1.6 years,0.37
273,1.02 x Earth (estimate),Super Earth,Transit Timing Variations,1.053 Earths,2023,Unknown,12.7 days,0.0
274,1.331 x Earth,Super Earth,Transit,1.9 Earths,2023,0.01406 AU,0.9 days,
275,0.203 x Jupiter (estimate),Neptune-like,Radial Velocity,5.8 Earths,2023,0.0523 AU,6.6 days,
276,1.061 x Jupiter,Neptune-like,Transit,25.1 Earths,2023,0.071 AU,7 days,< 0.17
277,0.778 x Jupiter,Gas Giant,Transit,0.37756 Jupiters,2023,0.034 AU,2.3 days,0.0
278,0.946 x Jupiter,Gas Giant,Transit,0.412 Jupiters,2023,0.04041 AU,3.8 days,< 0.054
279,0.314 x Jupiter,Neptune-like,Transit,11.8 Earths,2023,0.057 AU,4.8 days,< 0.14
280,0.423 x Jupiter,Neptune-like,Transit,20.2 Earths,2023,0.06519 AU,5.5 days,0.0
281,0.344 x Jupiter,Neptune-like,Transit,14.2 Earths,2023,0.1439 AU,17.9 days,0.0
282,1.15 x Jupiter (estimate),Gas Giant,Astrometry,5 Jupiters,2023,0.799 AU,310.9 days,0.95
283,0.984 x Jupiter (estimate),Gas Giant,Transit Timing Variations,0.266 Jupiters,2023,Unknown,2.3 years,0.12
284,0.292 x Jupiter (estimate),Neptune-like,Radial Velocity,10.75 Earths,2023,0.04685 AU,5.1 days,0.58
285,1.74 x Earth (estimate),Super Earth,Radial Velocity,3.69 Earths,2023,0.0405 AU,6.9 days,0.0
286,2.079 x Earth,Super Earth,Transit,5.738 Earths,2023,0.075 AU,10.6 days,0.0
287,1.255 x Jupiter,Gas Giant,Transit,1.1 Jupiters,2023,0.04435 AU,3.3 days,< 0.15
288,1.11 x Jupiter (estimate),Gas Giant,Radial Velocity,10.7 Jupiters,2023,Unknown,23.3 years,0.37
289,1.01 x Jupiter (estimate),Gas Giant,Transit Timing Variations,0.28 Jupiters,2023,0.807 AU,273.7 days,0.1
290,0.81 x Jupiter,Gas Giant,Transit,0.17 Jupiters,2023,0.4254 AU,104.9 days,0.09
291,2.23 x Jupiter,Gas Giant,Transit,1.86579 Jupiters,2023,0.05778 AU,4.4 days,0.0
292,0.841 x Jupiter,Gas Giant,Transit,9.27 Jupiters,2023,1.152 AU,482.8 days,0.21
293,0.607 x Jupiter,Gas Giant,Transit,3.02 Jupiters,2023,0.349 AU,82.7 days,0.25
294,1.22 x Jupiter,Gas Giant,Transit,2.48 Jupiters,2023,0.04 AU,3.6 days,0.04
295,0.309 x Jupiter,Gas Giant,Transit,0.23031 Jupiters,2023,0.0213 AU,1.2 days,< 0.03
296,0.991 x Earth,Terrestrial,Transit,0.941 Earths,2023,0.02037 AU,2 days,0.0
297,0.214 x Jupiter,Neptune-like,Transit,6.35 Earths,2023,0.10479 AU,14.2 days,0.17
298,1.829 x Earth,Super Earth,Transit,4 Earths,2023,0.06899 AU,7.6 days,0.17
299,0.394 x Jupiter (estimate),Neptune-like,Radial Velocity,17.9 Earths,2023,Unknown,95.2 days,0.06
300,1.24 x Jupiter (estimate),Gas Giant,Radial Velocity,0.912 Jupiters,2023,3.929 AU,5.6 years,0.02
301,0.285 x Jupiter,Gas Giant,Transit,0.17997 Jupiters,2023,0.0159 AU,0.8 days,0.0
302,1.08 x Jupiter (estimate),Gas Giant,Microlensing,0.31 Jupiters,2023,1.38 AU,3.8 years,
303,0.971 x Jupiter (estimate),Gas Giant,Microlensing,0.26 Jupiters,2023,3.02 AU,6.6 years,
304,1.23 x Jupiter (estimate),Gas Giant,Microlensing,1.07 Jupiters,2023,1.79 AU,3.9 years,
305,1.538 x Earth,Super Earth,Radial Velocity,5.14 Earths,2023,0.0673 AU,6.4 days,
306,1.551 x Earth,Super Earth,Radial Velocity,4.5 Earths,2023,0.04518 AU,3.5 days,
307,1.14 x Jupiter (estimate),Gas Giant,Radial Velocity,5.4 Jupiters,2023,5.3 AU,11.9 years,0.39
308,1.09 x Jupiter (estimate),Gas Giant,Radial Velocity,16 Jupiters,2023,3.8 AU,7.4 years,0.16
309,1.22 x Jupiter (estimate),Gas Giant,Radial Velocity,1.3 Jupiters,2023,4.6 AU,11.1 years,0.07
310,1.19 x Jupiter (estimate),Gas Giant,Radial Velocity,2.3 Jupiters,2023,5.4 AU,11.1 years,0.16
311,1.17 x Jupiter (estimate),Gas Giant,Radial Velocity,3 Jupiters,2023,3.7 AU,8.2 years,0.52
312,0.31 x Jupiter (estimate),Neptune-like,Radial Velocity,11.9 Earths,2023,0.0943 AU,13.5 days,0.49
313,0.77 x Jupiter,Gas Giant,Transit,0.273 Jupiters,2023,0.01808 AU,1.5 days,0.01
314,1.33 x Earth,Super Earth,Transit,7.4 Earths,2023,0.137 AU,28.2 days,0.0
315,1.25 x Earth,Super Earth,Transit,4.1 Earths,2023,0.101 AU,17.7 days,0.0
316,1.44 x Earth,Super Earth,Transit,2.67 Earths,2023,0.1 AU,10.2 days,
317,Unknown,Unknown,Imaging,Unknown,2023,100 AU,817 years,
318,1.13 x Jupiter (estimate),Gas Giant,Radial Velocity,6.6 Jupiters,2023,1.3 AU,490 days,0.2
319,0.578 x Jupiter (estimate),Neptune-like,Radial Velocity,34.3 Earths,2023,0.2263 AU,35.8 days,0.24
320,2.87 x Earth,Super Earth,Transit,16.9 Earths,2023,0.09103 AU,9.1 days,0.18
321,0.387 x Jupiter,Neptune-like,Transit,17.4 Earths,2023,0.119 AU,12.2 days,
322,0.247 x Jupiter,Neptune-like,Transit,8.1 Earths,2023,0.133 AU,18 days,
323,2.07 x Earth,Super Earth,Transit,4.94 Earths,2023,0.163 AU,11.1 days,
324,2.2 x Earth (estimate),Neptune-like,Radial Velocity,5.46 Earths,2023,0.1417 AU,36.1 days,0.08
325,0.22 x Jupiter,Neptune-like,Transit,7.24 Earths,2023,0.106 AU,18.1 days,< 0.5
326,2.18 x Earth,Super Earth,Transit,7.32 Earths,2023,0.0285 AU,2.5 days,< 0.3
327,1.06 x Jupiter (estimate),Gas Giant,Radial Velocity,28.26 Jupiters,2023,2.03 AU,1.8 years,0.28
328,1.09 x Jupiter (estimate),Gas Giant,Radial Velocity,15.83 Jupiters,2023,1.33 AU,466.6 days,0.36
329,0.208 x Jupiter (estimate),Neptune-like,Radial Velocity,6.03 Earths,2023,Unknown,34.4 days,0.14
330,1.86 x Earth (estimate),Super Earth,Radial Velocity,4.13 Earths,2023,Unknown,11.5 days,0.09
331,0.315 x Jupiter (estimate),Neptune-like,Radial Velocity,12.2 Earths,2023,0.04853 AU,3.5 days,< 0.063
332,1.693 x Jupiter,Gas Giant,Transit,0.435 Jupiters,2023,0.0678 AU,4.7 days,< 0.39
333,0.217 x Jupiter,Neptune-like,Transit,6.48 Earths,2023,0.0336 AU,4.9 days,
334,0.824 x Jupiter,Gas Giant,Transit,0.303 Jupiters,2023,0.0708 AU,6.4 days,< 0.42
335,1.06 x Jupiter,Gas Giant,Transit,0.54 Jupiters,2023,0.034 AU,2.9 days,< 0.38
336,0.71 x Jupiter,Gas Giant,Transit,0.14 Jupiters,2023,0.041 AU,4.4 days,< 0.23
337,0.459 x Jupiter,Neptune-like,Transit,14.95 Earths,2023,0.043 AU,4.7 days,0.11
338,1.615 x Jupiter,Gas Giant,Transit,0.386 Jupiters,2023,0.0607 AU,4.9 days,< 0.18
339,0.22 x Jupiter,Neptune-like,Transit,6.66 Earths,2023,0.05006 AU,6.1 days,
340,1.09 x Jupiter (estimate),Gas Giant,Imaging,14.8 Jupiters,2023,23.04 AU,285.2 years,
341,2.075 x Earth,Neptune-like,Transit,4.2 Earths,2023,0.071 AU,7.4 days,0.0
342,1.464 x Jupiter,Gas Giant,Transit,0.139 Jupiters,2023,0.0676 AU,6.2 days,0.06
343,1.466 x Earth,Super Earth,Transit,2.75 Earths,2023,0.03144 AU,4.8 days,
344,2.04 x Earth (estimate),Super Earth,Microlensing,4.83 Earths,2023,1.63 AU,4.9 years,
345,1.93 x Earth,Super Earth,Transit,9.67 Earths,2023,0.038 AU,2.8 days,0.0
346,1.95 x Earth,Super Earth,Transit,15.2 Earths,2023,0.02359 AU,1.4 days,
347,2.328 x Earth,Super Earth,Transit,9.72 Earths,2022,0.1017 AU,9.6 days,0.16
348,1.362 x Earth,Super Earth,Transit,13.71 Earths,2022,0.05727 AU,4 days,0.13
349,Unknown,Unknown,Radial Velocity,Unknown,2022,Unknown,103 days,0.0
350,1.77 x Earth (estimate),Super Earth,Radial Velocity,3.79 Earths,2023,0.1061 AU,12.9 days,0.13
351,0.44 x Jupiter (estimate),Neptune-like,Radial Velocity,21.6 Earths,2023,0.827 AU,282.2 days,0.0
352,0.233 x Jupiter,Neptune-like,Transit,26.57 Earths,2023,0.2958 AU,47.4 days,
353,1.15 x Jupiter (estimate),Gas Giant,Radial Velocity,4.8 Jupiters,2023,5.9 AU,17.1 years,0.43
354,1.25 x Jupiter (estimate),Gas Giant,Radial Velocity,0.7 Jupiters,2023,2.63 AU,5.2 years,0.1
355,0.284 x Jupiter,Neptune-like,Transit,16.137 Earths,2023,0.041657 AU,3.2 days,0.13
356,1.19 x Jupiter (estimate),Gas Giant,Radial Velocity,2.17728 Jupiters,2023,1.57 AU,2.1 years,0.26
357,0.551 x Jupiter,Gas Giant,Transit,38.15 Earths,2023,0.113 AU,14.7 days,0.07
358,0.529 x Jupiter,Neptune-like,Transit,20.31 Earths,2023,0.058 AU,5.4 days,0.03
359,0.269 x Jupiter,Neptune-like,Transit,11 Earths,2023,0.0229 AU,1.3 days,0.03
360,0.727 x Jupiter,Gas Giant,Transit,0.257 Jupiters,2023,0.0878 AU,9.1 days,0.06
361,2.7 x Earth,Super Earth,Transit,11 Earths,2023,0.04271 AU,3.1 days,0.0
362,0.306 x Jupiter,Neptune-like,Transit,7 Earths,2023,0.269 AU,52.6 days,0.0
363,0.342 x Jupiter,Neptune-like,Transit,8.3 Earths,2023,0.145 AU,20.8 days,0.0
364,1.18 x Jupiter (estimate),Gas Giant,Radial Velocity,2.4 Jupiters,2023,4 AU,9 years,0.03
365,1.27 x Jupiter (estimate),Gas Giant,Radial Velocity,0.53 Jupiters,2023,3.48 AU,5.9 years,0.39
366,1.24 x Jupiter (estimate),Gas Giant,Radial Velocity,0.4 Jupiters,2023,4.5 AU,9.4 years,0.2
367,0.457 x Jupiter (estimate),Neptune-like,Radial Velocity,23 Earths,2023,0.121 AU,15 days,0.1
368,0.261 x Jupiter,Neptune-like,Transit,8.91 Earths,2023,0.141 AU,21.6 days,0.04
369,2.24 x Earth,Neptune-like,Transit,5.65 Earths,2023,0.09 AU,10.9 days,0.11
370,0.438 x Jupiter (estimate),Neptune-like,Radial Velocity,21.4 Earths,2023,0.657 AU,241.8 days,
371,2.268 x Earth,Super Earth,Transit,9.2 Earths,2023,Unknown,7.4 days,0.0
372,0.688 x Jupiter (estimate),Gas Giant,Microlensing,0.14473 Jupiters,2023,2.74 AU,6.9 years,
373,1.15 x Jupiter (estimate),Gas Giant,Radial Velocity,5.01 Jupiters,2023,4.761 AU,9.4 years,0.19
374,1.18 x Jupiter (estimate),Gas Giant,Radial Velocity,2.85 Jupiters,2023,2.877 AU,5 years,0.18
375,1.08 x Jupiter (estimate),Gas Giant,Radial Velocity,18.7 Jupiters,2023,3.54 AU,6.4 years,0.67
376,1.096 x Jupiter,Gas Giant,Transit,2.3 Jupiters,2023,0.3081 AU,56.4 days,0.75
377,1.62 x Earth,Super Earth,Transit,3.48 Earths,2023,0.019 AU,1.1 days,0.0
378,0.438 x Jupiter,Neptune-like,Transit,20 Earths,2023,0.249 AU,47.7 days,0.14
379,0.295 x Jupiter,Neptune-like,Transit,2.2 Jupiters,2023,0.063 AU,6.5 days,
380,0.237 x Jupiter,Gas Giant,Transit,5.2 Jupiters,2023,0.088 AU,13.1 days,
381,0.87 x Jupiter,Gas Giant,Transit,0.216 Jupiters,2023,0.337 AU,63.5 days,0.57
382,1.17 x Jupiter (estimate),Gas Giant,Microlensing,3.34 Jupiters,2023,6.99 AU,22.8 years,
383,1.13 x Jupiter (estimate),Gas Giant,Microlensing,7.12 Jupiters,2023,1.84 AU,2.6 years,
384,1.22 x Jupiter (estimate),Gas Giant,Microlensing,1.16 Jupiters,2023,1.85 AU,4.3 years,
385,0.219 x Jupiter,Neptune-like,Transit,6.59 Earths,2023,Unknown,11.1 days,
386,1.55 x Earth,Super Earth,Transit,3.02 Earths,2023,0.083 AU,19.3 days,
387,0.469 x Jupiter,Neptune-like,Transit,24.1 Earths,2023,Unknown,3.6 days,
388,0.292 x Jupiter,Neptune-like,Transit,10.7 Earths,2023,Unknown,5.4 days,
389,0.288 x Jupiter,Neptune-like,Transit,10.5 Earths,2023,Unknown,3.8 days,
390,0.216 x Jupiter,Neptune-like,Transit,6.43 Earths,2023,Unknown,9.2 days,
391,0.327 x Jupiter,Neptune-like,Transit,13 Earths,2023,Unknown,1.9 days,
392,0.541 x Jupiter,Neptune-like,Transit,34.62 Earths,2023,0.0491 AU,3.7 days,0.09
393,0.263 x Jupiter,Neptune-like,Transit,9.03 Earths,2023,Unknown,19.1 days,
394,0.247 x Jupiter,Neptune-like,Transit,8.11 Earths,2023,Unknown,15.7 days,
395,1.989 x Earth,Super Earth,Transit,4.61 Earths,2023,Unknown,15.3 days,
396,0.219 x Jupiter,Neptune-like,Transit,6.6 Earths,2023,Unknown,11.1 days,
397,0.361 x Jupiter (estimate),Neptune-like,Microlensing,15.4 Earths,2023,1.9 AU,3.6 years,
398,0.533 x Jupiter (estimate),Neptune-like,Microlensing,29.87587 Earths,2023,2.44 AU,6.1 years,
399,1.2 x Jupiter (estimate),Gas Giant,Microlensing,1.81 Jupiters,2023,5.67 AU,16.1 years,
400,2.25 x Earth,Super Earth,Transit,6.1 Earths,2023,0.0629 AU,6.4 days,0.23
401,1.032 x Earth,Super Earth,Transit,0.9 Earths,2023,0.01992 AU,2.8 days,0.0
402,1.52 x Earth,Super Earth,Transit,2.68 Earths,2023,0.0559 AU,7.4 days,
403,0.26 x Jupiter,Neptune-like,Transit,3.5 Jupiters,2023,0.387 AU,91.7 days,< 0.21
404,1.82 x Earth,Super Earth,Transit,3.97 Earths,2023,0.1084 AU,14.1 days,0.0
405,1.04 x Earth,Super Earth,Transit,1.12 Earths,2023,0.0197 AU,1.1 days,0.0
406,1.57 x Earth,Super Earth,Transit,3.09 Earths,2023,0.1228 AU,20.6 days,0.0
407,0.296 x Jupiter,Neptune-like,Transit,7.9 Earths,2023,0.0562 AU,6.4 days,0.0
408,0.317 x Jupiter,Neptune-like,Transit,10.8 Earths,2023,0.0713 AU,8.7 days,0.0
409,0.6 x Earth,Terrestrial,Transit,0.156 Earths,2023,0.0405 AU,3 days,0.0
410,0.218 x Jupiter,Neptune-like,Transit,5.82 Earths,2023,0.1815 AU,26.8 days,0.0
411,0.251 x Jupiter,Neptune-like,Transit,8.3 Earths,2023,0.3608 AU,92.7 days,0.0
412,0.205 x Jupiter,Neptune-like,Transit,5.73 Earths,2023,0.1789 AU,32.4 days,0.0
413,0.412 x Jupiter,Neptune-like,Transit,16.9 Earths,2023,0.3259 AU,73.8 days,0.0
414,0.51 x Earth,Terrestrial,Transit,0.087 Earths,2023,0.053 AU,4.6 days,0.0
415,0.395 x Jupiter,Neptune-like,Transit,16.1 Earths,2023,0.1943 AU,26.7 days,0.0
416,0.91 x Earth,Terrestrial,Transit,0.693 Earths,2023,0.1169 AU,15.6 days,0.0
417,0.259 x Jupiter,Neptune-like,Transit,7.13 Earths,2023,0.1528 AU,22.8 days,0.0
418,1.47 x Earth,Super Earth,Transit,2.76 Earths,2023,0.1065 AU,13.3 days,0.0
419,0.98 x Earth,Terrestrial,Transit,0.904 Earths,2023,0.0504 AU,4.1 days,0.0
420,0.425 x Jupiter,Neptune-like,Transit,19.3 Earths,2023,0.0918 AU,10.2 days,0.0
421,1.53 x Earth,Super Earth,Transit,2.96 Earths,2023,0.1038 AU,11.5 days,0.0
422,1.92 x Earth,Super Earth,Transit,4.35 Earths,2023,0.0765 AU,8.7 days,0.0
423,0.291 x Jupiter,Neptune-like,Transit,7.56 Earths,2023,0.0571 AU,5.6 days,0.0
424,1.33 x Earth,Super Earth,Transit,2.33 Earths,2023,0.0427 AU,3.6 days,0.0
425,1.23 x Earth,Super Earth,Transit,2.04 Earths,2023,0.0318 AU,2.3 days,0.0
426,1.89 x Earth,Super Earth,Transit,4.23 Earths,2023,0.1307 AU,19.5 days,0.0
427,2.27 x Earth,Neptune-like,Transit,5.77 Earths,2023,0.0426 AU,3.4 days,0.0
428,6.81 x Earth,Neptune-like,Transit,37.3 Earths,2023,0.0238 AU,2 days,0.0
429,2.33 x Earth,Neptune-like,Transit,6.04 Earths,2023,0.0689 AU,7.3 days,0.0
430,0.77 x Earth,Terrestrial,Transit,0.381 Earths,2023,0.0511 AU,3.8 days,0.0
431,0.84 x Jupiter,Gas Giant,Transit,0.197 Jupiters,2023,1.3292 AU,453.5 days,0.0
432,0.254 x Jupiter,Neptune-like,Transit,5.52 Earths,2023,0.2049 AU,33 days,0.0
433,0.386 x Jupiter,Gas Giant,Transit,250 Jupiters,2023,0.1383 AU,18.5 days,0.0
434,0.268 x Jupiter,Neptune-like,Transit,7.61 Earths,2023,0.0914 AU,10.8 days,0.0
435,1.66 x Earth,Super Earth,Transit,3.39 Earths,2023,0.0486 AU,4.5 days,0.0
436,0.349 x Jupiter,Neptune-like,Transit,10.7 Earths,2023,0.0286 AU,1.7 days,0.0
437,0.391 x Jupiter,Neptune-like,Transit,16.2 Earths,2023,0.1021 AU,11.7 days,0.0
438,0.282 x Jupiter,Neptune-like,Transit,8.6 Earths,2023,0.1216 AU,11.8 days,0.0
439,0.89 x Earth,Terrestrial,Transit,0.64 Earths,2023,0.061 AU,6.2 days,0.0
440,1.62 x Earth,Super Earth,Transit,3.26 Earths,2023,0.0382 AU,2.4 days,0.0
441,1.55 x Earth,Super Earth,Transit,3.02 Earths,2023,0.1309 AU,17.2 days,0.0
442,1.42 x Earth,Super Earth,Transit,2.6 Earths,2023,0.0466 AU,4.1 days,0.0
443,1.41 x Earth,Super Earth,Transit,2.57 Earths,2023,0.0602 AU,5.3 days,0.0
444,1.61 x Earth,Super Earth,Transit,3.22 Earths,2023,0.0533 AU,4.5 days,0.0
445,0.406 x Jupiter,Neptune-like,Transit,16.4 Earths,2023,0.1575 AU,24.6 days,0.0
446,1.61 x Earth,Super Earth,Transit,3.22 Earths,2023,0.0407 AU,3.1 days,0.0
447,0.235 x Jupiter,Neptune-like,Transit,9.48 Earths,2023,0.3802 AU,85.5 days,0.0
448,2.05 x Earth,Super Earth,Transit,4.86 Earths,2023,0.7326 AU,232 days,0.0
449,0.86 x Earth,Terrestrial,Transit,0.566 Earths,2023,0.0154 AU,0.8 days,0.0
450,1.41 x Earth,Super Earth,Transit,2.57 Earths,2023,0.0454 AU,3.2 days,0.0
451,1.21 x Earth,Super Earth,Transit,1.92 Earths,2023,0.0576 AU,5.1 days,0.0
452,0.74 x Earth,Terrestrial,Transit,0.33 Earths,2023,0.028 AU,1.7 days,0.0
453,1.66 x Earth,Super Earth,Transit,3.39 Earths,2023,0.0473 AU,3.6 days,0.0
454,1.22 x Earth,Super Earth,Transit,1.98 Earths,2023,0.015 AU,0.8 days,0.0
455,1.76 x Earth,Super Earth,Transit,3.75 Earths,2023,0.0133 AU,0.6 days,0.0
456,0.362 x Jupiter,Neptune-like,Transit,8.8 Earths,2023,0.4572 AU,116.6 days,0.0
457,1.22 x Earth,Super Earth,Transit,1.98 Earths,2023,0.0468 AU,4.7 days,0.0
458,0.357 x Jupiter,Neptune-like,Transit,16.7 Earths,2023,0.4025 AU,94.9 days,0.0
459,2.09 x Earth,Super Earth,Transit,5.02 Earths,2023,0.2323 AU,45 days,0.0
460,0.213 x Jupiter,Neptune-like,Transit,8.75 Earths,2023,0.0905 AU,9.6 days,0.0
461,0.279 x Jupiter,Neptune-like,Transit,6.53 Earths,2023,0.3045 AU,61.6 days,0.0
462,0.799 x Jupiter,Gas Giant,Transit,0.153 Jupiters,2023,0.2588 AU,35.8 days,0.0
463,1.88 x Earth,Super Earth,Transit,4.19 Earths,2023,0.0981 AU,11.6 days,0.0
464,1.83 x Earth,Super Earth,Transit,4.01 Earths,2023,0.0928 AU,8.9 days,0.0
465,1.81 x Earth,Super Earth,Transit,3.93 Earths,2023,0.2832 AU,59.3 days,0.0
466,1.45 x Earth,Super Earth,Transit,2.7 Earths,2023,0.6193 AU,199.7 days,0.0
467,0.211 x Jupiter,Neptune-like,Transit,5.9 Earths,2023,0.6135 AU,180.9 days,0.0
468,0.635 x Jupiter,Gas Giant,Transit,282 Jupiters,2023,0.523 AU,150 days,0.0
469,0.504 x Jupiter,Gas Giant,Transit,0.252 Jupiters,2023,0.0567 AU,5.1 days,0.0
470,0.461 x Jupiter,Neptune-like,Transit,9.11 Earths,2023,0.1394 AU,21 days,0.0
471,0.277 x Jupiter,Neptune-like,Transit,10.1 Earths,2023,0.1792 AU,29.5 days,0.0
472,1.67 x Earth,Super Earth,Transit,3.43 Earths,2023,0.0634 AU,6.5 days,0.0
473,1.37 x Jupiter,Gas Giant,Transit,2.8 Jupiters,2023,0.06 AU,4.6 days,0.21
474,1.23 x Jupiter (estimate),Gas Giant,Microlensing,0.97 Jupiters,2022,1.36 AU,5.3 years,
475,1.23 x Jupiter (estimate),Gas Giant,Microlensing,0.95 Jupiters,2022,1.21 AU,2.5 years,
476,0.832 x Jupiter (estimate),Gas Giant,Microlensing,0.2 Jupiters,2022,1.68 AU,5.4 years,
477,0.393 x Jupiter (estimate),Neptune-like,Microlensing,17.79839 Earths,2022,3.23 AU,7 years,
478,1.24 x Jupiter (estimate),Gas Giant,Microlensing,0.89 Jupiters,2022,1.75 AU,2.7 years,
479,2.332 x Earth,Super Earth,Transit,10.4 Earths,2023,0.1237 AU,16.1 days,< 0.23
480,1.12 x Jupiter (estimate),Gas Giant,Imaging,8.25 Jupiters,2023,0.97 AU,7 years,
481,1.23 x Jupiter (estimate),Gas Giant,Microlensing,1.1 Jupiters,2023,4.16 AU,12.9 years,
482,1.992 x Earth,Super Earth,Transit,5.72 Earths,2023,0.0618 AU,4.9 days,0.05
483,0.997 x Jupiter (estimate),Gas Giant,Radial Velocity,0.272 Jupiters,2023,4.6 AU,9.5 years,0.33
484,1.19 x Jupiter (estimate),Gas Giant,Radial Velocity,2.31 Jupiters,2023,5.1 AU,11.2 years,0.09
485,0.322 x Jupiter (estimate),Neptune-like,Radial Velocity,12.68 Earths,2023,0.5379 AU,151 days,< 0.26
486,1.14 x Jupiter (estimate),Gas Giant,Radial Velocity,5.41 Jupiters,2023,1.961 AU,2.5 years,0.85
487,1.09 x Jupiter (estimate),Gas Giant,Imaging,16.1 Jupiters,2023,16.9 AU,51 years,0.25
488,1.0 x Jupiter,Gas Giant,Transit,0.3 Jupiters,2023,0.201 AU,30.1 days,0.15
489,1.08 x Jupiter,Gas Giant,Transit,3.5 Jupiters,2023,0.3 AU,61.6 days,0.52
490,1.0 x Jupiter,Gas Giant,Transit,5.98 Jupiters,2023,0.158 AU,22.7 days,0.68
491,1.07 x Jupiter (estimate),Gas Giant,Imaging,27 Jupiters,2023,27 AU,120.5 years,0.52
492,1.24 x Jupiter (estimate),Gas Giant,Microlensing,0.91 Jupiters,2022,4.06 AU,11.8 years,
493,0.674 x Jupiter (estimate),Gas Giant,Microlensing,0.14 Jupiters,2022,2.86 AU,5.8 years,
494,1.22 x Jupiter (estimate),Gas Giant,Microlensing,1.15 Jupiters,2022,3.81 AU,9.2 years,
495,1.19 x Jupiter (estimate),Gas Giant,Microlensing,2.11 Jupiters,2022,2.46 AU,7.2 years,
496,0.903 x Jupiter (estimate),Gas Giant,Microlensing,0.23 Jupiters,2022,0.87 AU,2.6 years,
497,1.21 x Jupiter (estimate),Gas Giant,Microlensing,1.45 Jupiters,2022,4.39 AU,12.9 years,
498,1.042 x Jupiter,Gas Giant,Transit,12.89 Jupiters,2023,0.0888 AU,7.2 days,0.33
499,0.92 x Jupiter (estimate),Gas Giant,Radial Velocity,0.23723 Jupiters,2023,0.794 AU,215.8 days,0.04
500,0.683 x Jupiter,Neptune-like,Transit,11.3 Earths,2020,0.4607 AU,95.4 days,0.03
501,1.22 x Jupiter (estimate),Gas Giant,Microlensing,1.3 Jupiters,2023,3.54 AU,8.4 years,
502,1.015 x Earth,Super Earth,Transit,7.5 Earths,2023,0.027 AU,4 days,
503,1.914 x Earth,Super Earth,Transit,4.32 Earths,2023,0.04 AU,6.4 days,0.1
504,1.243 x Earth,Super Earth,Transit,2.08 Earths,2023,0.025 AU,3.1 days,0.15
505,1.24 x Jupiter (estimate),Gas Giant,Microlensing,0.9 Jupiters,2023,1.85 AU,5.6 years,
506,1.22 x Jupiter (estimate),Gas Giant,Microlensing,1.26 Jupiters,2023,1.75 AU,3.8 years,
507,0.616 x Jupiter (estimate),Gas Giant,Microlensing,38.19 Earths,2023,2.22 AU,7.1 years,
508,1.08 x Jupiter (estimate),Gas Giant,Radial Velocity,21 Jupiters,2023,2.1 AU,2.2 years,0.1
509,0.971 x Jupiter (estimate),Gas Giant,Microlensing,0.26 Jupiters,2022,1.28 AU,4.8 years,
510,1.043 x Jupiter,Gas Giant,Transit Timing Variations,Unknown,2023,0.0565 AU,5 days,0.0
511,1.17 x Jupiter (estimate),Gas Giant,Imaging,3 Jupiters,2023,37.2 AU,166.9 years,
512,1.03 x Jupiter,Gas Giant,Transit,1.08 Jupiters,2023,0.0199 AU,1.6 days,0.02
513,0.994 x Jupiter,Gas Giant,Transit,4.82 Jupiters,2023,0.1166 AU,10.7 days,0.2
514,1.453 x Jupiter,Gas Giant,Transit,0.92 Jupiters,2023,0.0513 AU,3.8 days,0.12
515,1.281 x Jupiter,Gas Giant,Transit,2.83 Jupiters,2023,0.05064 AU,3.4 days,0.06
516,1.108 x Jupiter,Gas Giant,Transit,5.5596 Jupiters,2023,0.111 AU,10.3 days,0.21
517,0.634 x Jupiter,Gas Giant,Transit,0.1452 Jupiters,2023,0.0539 AU,4.5 days,0.15
518,0.994 x Jupiter,Gas Giant,Transit,0.972 Jupiters,2023,0.04389 AU,3.7 days,0.05
519,1.12 x Jupiter (estimate),Gas Giant,Transit,8.02 Jupiters,2023,0.591 AU,155.3 days,0.25
520,1.0 x Jupiter,Gas Giant,Transit,6.14 Jupiters,2023,0.369 AU,76.8 days,0.45
521,1.16 x Jupiter (estimate),Gas Giant,Radial Velocity,3.6 Jupiters,2022,3.53 AU,9.4 years,0.09
